manufacturer_name,model_name,production_start_date,production_end_date,recall_start_date,affected_count,recall_reason,vehicle_type
기아,모하비,2008-05-02,2009-07-13,2012-06-04,3182,설정속도(약64km/h) 이상에서 충돌 사고 시 운전자의 발목 부상을 줄이기 위해 브레이크 페달이 파손되게 제작되었으나 설정속도 이하 충돌 사고 시에도 파손되어 제동불량으로 2차 사고의 가능성으로 안전운행에 지장,SUV
토요타,토요타 RAV4 2WD,2009-09-01,2010-08-27,2012-08-30,223,뒷바퀴 정렬 후 바퀴정렬장치(타이로드)가 덜 조여지는 경우 타이로드가 마모되어 분리될 수 있고 이 경우 운전자가 의도한 방향으로 운행이 되지 않아 안전운행에 지장,SUV
토요타,토요타 RAV4 4WD,2009-02-27,2010-08-31,2012-08-30,626,뒷바퀴 정렬 후 바퀴정렬장치(타이로드)가 덜 조여지는 경우 타이로드가 마모되어 분리될 수 있고 이 경우 운전자가 의도한 방향으로 운행이 되지 않아 안전운행에 지장,SUV
르노코리아,QM5,2011-01-27,2011-11-21,2012-12-21,1688,앞바퀴를 고정해 주는 로워암(트랜스버스 링크)의 용접불량으로 용접부위가 파손될 가능성이 있고 이 경우 조향이 되지 않아 안전운행에 지장,SUV
현대자동차,싼타페,2010-06-01,2011-06-30,2013-04-11,33667,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
기아,카렌스,2010-06-01,2010-07-30,2013-04-11,785,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,MPV/미니밴
기아,쏘렌토,2010-10-01,2011-04-10,2013-04-11,23421,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
기아,그랜드 카니발,2007-06-21,2010-12-01,2013-10-01,4723,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,MPV/미니밴
기아,모하비,2007-11-01,2011-03-13,2013-10-01,22551,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
기아,스포티지,2010-01-28,2011-06-08,2013-10-01,49711,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
